,question,expected_answer,chatbot_answer,page,chatbot_page,cos_sim_gpt35,rouge_1_f1_gpt35,rouge_2_f1_gpt35,rouge_l_f1_gpt35,page_match
65,What should I do to reduce my child's fever?,"Sponge the child with room temperature water and give the child plenty of fluids to ensure that he or she stays hydrated. If the fever rises above 39°C (102°F) or persists for more than 3 days, seek medical attention. Give fever-reducing medications as discussed with the healthcare practitioner.","To reduce your child's fever, you can dress them lightly, sponge them with room temperature water, give them plenty of fluids to stay hydrated, and give fever-reducing medications as discussed with a healthcare practitioner. If the fever rises above 39°C (102°F) or persists for more than 3 days, seek medical attention. It's important to note that a fever alone is not always a clear indicator of how sick a child is, so it's best to gauge the severity of the illness by noting changes in the child's behavior.",193,"['124', '193', '192']",0.82420665,0.5964912234164359,0.406015033069139,0.5614035041181903,1
66,What are the common causes of anaphylaxis?,"Common causes of anaphylaxis include insect stings, food, and medications.","The common causes of anaphylaxis include insect stings, food, and medications.",86,"['86', '84']",0.99663055,0.8571428521541952,0.8421052581717452,0.8571428521541952,1
67,What should you do if someone else has to leave to make the call for you?,"If someone else has to leave to make the call for you, ask that person to come back and tell you what the EMS/9-1-1 dispatcher said. If using a mobile phone, the person can stay with you while placing the call and speaking to the dispatcher.","Ask that person to come back and tell you what the EMS/9-1-1 dispatcher said. If using a mobile phone, the person can stay with you while placing the call and speaking to the dispatcher.",32,"['32', '20', '19']",0.94473064,0.8474576221890263,0.8311688262708721,0.8474576221890263,1
68,How can you try to remove a foreign object from the eye?,"To try to remove a foreign object from the eye, have the person blink several times. The eye will produce tears that may wash out the object. An object that is not touching the eye itself (e.g., in the corner of the eye) may be removed with a moist cotton-tipped applicator. If these steps do not remove the object, the person should seek medical attention.","To try to remove a foreign object from your eye, you can have the person blink several times to produce tears that may wash out the object. If the object is not touching the eye itself, it may be removed with a moist cotton-tipped applicator. If these steps do not remove the object, seek medical attention.",103,"['103', '102']",0.961275,0.8210526266060942,0.6722689026057482,0.8210526266060942,1
69,What can cause a TIA?,A TIA may be caused by a tumor or a clot in an artery in the brain.,"A transient ischemic attack (TIA) can be caused by a temporary drop in blood flow to part of the brain, which may be due to a clot in an artery in the brain or a tumour pressing on an artery.",59,"['58', '59', '130']",0.73586386,0.5652173869092628,0.44444444027434843,0.4782608651701324,1
70,What are the symptoms of Prickly Heat?,"A rash of tiny, pinpoint blisters surrounded by blotches of pink skin. It occurs in hot weather or whenever a child or baby is overdressed.","The symptoms of Prickly Heat include a rash of tiny, pinpoint blisters surrounded by blotches of pink skin, especially on the face or heavily clothed parts of the body. It occurs in hot weather or when a child or baby is overdressed. If the child or baby is feverish, they may also be irritable.",185,"['185', '145']",0.6587243,0.6153846108118344,0.5135135091307524,0.6153846108118344,1
71,What are the signs and symptoms of a blunt chest injury?,"The signs and symptoms of a blunt chest injury include pain, deformity or swelling, guarded shallow breathing, and bruising at the site.","The signs and symptoms of a blunt chest injury include pain, deformity or swelling, guarded shallow breathing, and bruising at the site.",109,"['109', '108']",0.9999999,0.999999995,0.999999995,0.999999995,1
72,How are wooden toys assembled?,Wooden toys should be glued or screwed together instead of nailed.,Wooden toys should be glued or screwed together instead of nailed.,198,"['198', '196']",1.0,0.999999995,0.999999995,0.999999995,1
73,Where should medicine be kept?,Emergency medicine should be accessible at all times but out of the reach of children.,"Medicine should be kept out of the reach of children, in locked cupboards or with child-resistant latches.",194,"['194', '161', '36']",0.5079887,0.3999999950222222,0.33333332835555557,0.3999999950222222,1
74,What Causes Ischemic Stroke?,"An ischemic stroke is caused by a clot becoming lodged in an artery of the brain, usually due to narrowing of the artery from cardiovascular disease.","An ischemic stroke is caused by a clot becoming lodged in an artery in the brain, usually due to the artery being narrowed by cardiovascular disease.",58,"['58', '59', '130']",0.9931426,0.8888888838913581,0.734693872553103,0.8888888838913581,1
75,What are some common causes of eye injuries?,"Foreign objects or particles in the eye, an impact to the eye, radiation or burns, chemicals or other caustic materials.","Common causes of eye injuries include foreign objects or particles in the eye, an impact to the eye, radiation or burns, and exposure to chemicals or other caustic materials.",102,"['102', '104']",0.7918628,0.7499999952,0.7111111063111111,0.7499999952,1
76,"When should you move a person with a head, neck, or spinal injury?","You may need to move a person with a head, neck, and/or spinal injury in the following situations: 1) The person’s airway is blocked (for example, if the person vomits) 2) The scene of the emergency becomes dangerous 3) There is no organized EMS response in the region (for example, if the injury occurs in a very remote area)","You should move a person with a head, neck, or spinal injury in the following situations:
- If the person's airway is blocked
- If the scene of the emergency becomes dangerous
- If there is no organized EMS response in the region, especially in a remote area",116,"['116', '113', '115']",0.9271285,0.6582278431661595,0.49484535588904255,0.6582278431661595,1
77,"At what level should a complaint of abuse, neglect, harassment, or harassment be taken?",The complaint cannot be diminished or ignored. There must always be a response. Both verbal and non-verbal disclosures need to be handled sensitively while following specific procedures.,"A complaint of abuse, neglect, or harassment should be reported to the appropriate authorities, such as child protection services or the police, as required by your jurisdiction's Child Protection Act.",18,"['18', '17']",0.5308335,0.15384614885355044,0.0,0.11538461039201205,1
78,What are the symptoms of osteoporosis?,"The loss of density and strength leaves bones more susceptible to fractures (especially of the hips, vertebrae, and wrists). Instead of being caused by tremendous force, fractures may now occur spontaneously, with little or no aggravation, trauma, or force.","Symptoms of osteoporosis include fractures that occur with little or no force, especially in the hips, vertebrae, and wrists. Other symptoms may include spontaneous fractures, bluish or cold fingers, numbness, and tingling.",128,"['128', '122']",0.5449922,0.41269840772990685,0.1739130385297208,0.38095237598387505,1
79,What should you do if you're afraid of being sued for making a mistake in first aid?,"As long as you act reasonably, you don't need to worry about being sued. All provinces and territories have laws to protect bystanders who give emergency help.","As long as you act reasonably and within the realm of the skills in which you were trained, you don't need to worry about being sued. All provinces and territories have laws to protect bystanders who give emergency help. Getting trained in first aid can give you the confidence, knowledge, and skills you need to respond appropriately to an emergency. Use your good judgment and stay within your training. If you are unsure of what to do, call EMS/9-1-1 and follow the dispatcher’s instructions. The most harmful thing you can do is to do nothing at all.",15,"['15', '16']",0.6004878,0.5106382939678588,0.3966942115019466,0.5106382939678588,1
80,What are the signs and symptoms of an allergic reaction?,"The signs and symptoms of an allergic reaction can vary depending on the trigger, but they typically involve the airways, skin, sinuses, nasal passages, cardiovascular system, and digestive systems. Common symptoms include runny or stuffy nose, sneezing, itchy or swollen eyes, nausea, vomiting, diarrhea, rash or hives, tingling of the mouth, swelling of the lips, tongue, face, or throat, coughing, chest tightness, wheezing, shortness of breath, weakness, dizziness, or confusion.","The signs and symptoms of an allergic reaction can range from mild to very severe and include the following:
- Runny, itchy, or stuffy nose
- Sneezing
- Watery, itchy, red, or swollen eyes
- Nausea, vomiting, or diarrhea
- A rash or hives (raised, itchy areas of skin)
- Tingling of the mouth
- Swelling of the lips, tongue, face, or throat
- Coughing, chest tightness, wheezing, or shortness of breath
- Weakness, dizziness, or confusion",85,"['85', '86']",0.92924833,0.46017698615396674,0.2937062887182748,0.44247787110971887,1
81,How do you use the scale?,Use ladders carefully and correctly.,"The scale should be used by following the manufacturer's instructions for applying the tourniquet. It should be applied 5 to 10 cm (2 to 4 in.) above the injury, and tightened until the bleeding stops. The tourniquet should then be secured in place, and the time it was tightened should be documented.",114,"['84', '88', '61']",0.1649368,0.047619045521542044,0.0,0.047619045521542044,0
82,What to do with unexpected funds?,"Common items such as rolled newspapers, scarves, belts, and pillows can be used to improvise slings and splints if commercial versions are not available. Medical tape and medical braces can also be used to support strains and sprains.",Consider putting the unexpected funds into a savings account or using them to pay off any outstanding debts. It's also a good idea to consider investing the funds or using them to contribute to a retirement account.,124,"['12', '96', '104']",0.15134998,0.07017543363496495,0.0,0.07017543363496495,0
83,Does wearing gloves eliminate the need for personal hygiene?,"No, wearing gloves helps to protect you from infection, but it does not eliminate the need for proper hygiene. First Aiders should always wash their hands thoroughly when they have finished giving care, even if they wore gloves the entire time.","Wearing gloves does not eliminate the need for personal hygiene. It is important to wash your hands before and after wearing gloves, especially in a first aid emergency, after handling dirty articles, instruments, or dressings, and after removing gloves. Hand sanitizers are not a substitute for hand washing, and should only be used as a temporary measure in situations where hand washing is not immediately possible. Additionally, it is important to keep up with immunization needs to protect against diseases, as wearing gloves alone does not provide immunity.",23,"['25', '24']",0.83210385,0.2884615338239645,0.11382113382246034,0.26923076459319534,0
84,Who should give the first dose of a new medication?,"Parents or guardians should give the first dose of a new medication so that they can watch for any unusual signs, symptoms, reactions, or behaviors in their children or babies.","The first dose of a new medication should be given by the parent or guardian so that they can watch for any unusual signs, symptoms, reactions, or behaviors in their children or babies.",193,"['36', '193', '194']",0.97029066,0.8474576221315714,0.7213114704219297,0.7796610119620799,1
85,How do you respond when violence is exposed?,A person revealing experiences of abuse—past or present—can be challenging and upsetting. Your response to the disclosure is critical. Studies show that the manner in which a disclosure of interpersonal violence is handled is a significant factor in determining the psychological impact on the victim. Indifference and blame are damaging responses that can have long-lasting consequences.,"When violence is exposed, it is important to respond sensitively and follow specific procedures. If the disclosure is from a young person, your jurisdiction’s Child Protection Act may govern how you respond. It is crucial to handle both verbal and non-verbal disclosures with care and not diminish or ignore the complaint. If the person revealing experiences of abuse needs medical assistance, it is important to call EMS/9-1-1 and communicate the situation to the EMS personnel who arrive. Indifference and blame are damaging responses, so it is important to respond in a supportive and non-judgmental manner.",17,"['17', '18']",0.71698093,0.31578946890581727,0.15602836403601444,0.2807017496075716,1
86,What would you do if you were choking and needed to cry for help?,"Calling EMS/9-1-1 does not always tell the dispatcher your location. It is important to move to a public area or a place where you are likely to be seen. If using a mobile phone, enhanced 9-1-1 services may be able to triangulate your position, but it is accurate only to within several hundred meters. If using a VOIP system, the location of the call depends on how the system is set up. If calling from a landline phone, your exact position within the building will not be pinpointed.","If you are choking and need to cry for help, you should first dial EMS/9-1-1 and leave the phone off the hook to signal the dispatcher to send help. If there are people nearby, move to a place where you can be noticed. If you are by yourself and choking, attempt to dislodge the object by performing an abdominal thrust against a safe object with no sharp edges or corners, such as the back of a chair or the edge of a table. It is important to take these actions to try to dislodge the object and get help as quickly as possible.",50,"['16', '50', '52']",0.42370012,0.25954197974010845,0.11049723258752808,0.25954197974010845,1
87,How does angina differ from a heart attack?,"The signs and symptoms of angina are similar to a heart attack, but the pain in angina is usually triggered by physical activity or stress, goes away if the person rests, and is often relieved by medication like nitroglycerin.","Angina and a heart attack both involve a lack of oxygen to the heart, but the main difference is that angina occurs when the heart requires more oxygen than it is receiving due to narrowed arteries and elevated oxygen needs, often triggered by physical activity or stress. The pain from angina usually goes away with rest or medication. On the other hand, a heart attack occurs when the heart muscle cannot get enough oxygen due to a blockage in one of the arteries that feeds it, resulting in persistent chest pain that is not relieved by rest or medication.",57,"['57', '55']",0.7517756,0.4693877505705957,0.14062499582519544,0.40816326077467724,1
88,When should I call EMS/9-1-1?,"EMS/9-1-1 should be called if the person is having trouble breathing, or if the sap is on the person's eyes, face, or groin.","You should call EMS/9-1-1 if there is a danger to you or others, or if the ill or injured person has any of the following conditions:
• Unresponsiveness or an altered mental state (e.g., confusion)
• Difficulty breathing or no signs of breathing
• Persistent chest pain or pressure
• Life-threatening or uncontrollable bleeding
• Seizures
• Severe headaches
• Abnormal speech
• Injuries to the head, neck, or back
• Blood in the vomit or urine
• An apparent mental health crisis
• Imminent childbirth
You should also call EMS/9-1-1 if the ill or injured person is not easily accessible, or if the situation involves fire, an explosion, a motor vehicle collision, hazardous materials, downed electrical wires, or swift-moving water.",166,"['19', '20']",0.6343647,0.1428571398583924,0.0451127792956076,0.12244897659308628,0
89,What is the proper technique for removing gloves without skin contamination?,"The proper technique for removing gloves without contaminating your skin is as follows:
1. With one hand, pinch the glove at the wrist of your second hand, being careful to touch only the glove's outer surface.
2. Pull the glove down and off your hand.
3. Form the glove into a ball and hold it in the palm of your gloved hand.
4. Insert your gloveless thumb under the glove of your other hand at the inner wrist.
5. Pull the glove downward off the hand, turning it inside out and trapping the other balled glove inside.
6. Discard gloves appropriately.
7. Wash your hands thoroughly with soap and water for at least 30 seconds, using the proper handwashing technique.","To remove gloves without contaminating your skin, follow these steps:
1. Pinch the glove at the wrist of your second hand with one hand, being careful to touch only the glove’s outer surface.
2. Pull the glove down and off your hand.
3. Form the glove into a ball and hold it in the palm of your gloved hand.
4. Insert your gloveless thumb under the glove of your other hand at the inner wrist.
5. Pull the glove downward off the hand, turning it inside out and trapping the other balled glove inside.
6. Discard the gloves appropriately.
7. Wash your hands thoroughly with soap and water for at least 30 seconds using the proper handwashing technique.",25,"['25', '24']",0.9725679,0.8758169884642658,0.8272727222731405,0.8627450930394294,1
90,How does smoking affect the risk of cardiovascular disease?,Smoking is a major risk factor for developing cardiovascular disease. Smokers have a risk of sudden death that is 2 to 4 times greater than that of non-smokers.,"Smoking is a major risk factor for developing cardiovascular disease. Smokers have a risk of sudden death that is 2 to 4 times greater than that of non-smokers. Second-hand and smokeless tobacco also increase the risk of cardiovascular disease. Fortunately, the risk starts to drop as soon as a person stops smoking. Compared to a smoker, the risk of cardiovascular disease decreases by half within 1 year of quitting smoking. Within 15 years, the risk is close to that of a non-smoker.",54,"['54', '55', '57']",0.90373135,0.6133333290808889,0.5454545414876033,0.6133333290808889,1
91,What should you use to secure dressings?,Adhesive tape,"You should use clean, preferably sterile, dressings to secure the wound. Check circulation below the injury before and after applying the dressing, and if circulation is reduced, loosen the dressing. If blood soaks through the dressing, place more dressings and another bandage on top. The dressing that is in contact with the wound should remain in place and not be removed.",12,"['127', '61', '90']",0.31214833,0.0,0.0,0.0,0
92,What are the symptoms of scabies?,"Many tiny blisters, scratch marks, and scaly crusts found mainly in skin folds (e.g., between fingers, on wrists, on the torso, and on genitals). Extreme itchiness.","The symptoms of scabies include many tiny blisters, scratch marks, and scaly crusts found mainly in skin folds (e.g., between fingers, on wrists, on the torso, and on genitals) and extreme itchiness.",184,"['184', '185']",0.7144559,0.8363636314049587,0.79999999505,0.8363636314049587,1
93,What are the important things to remember when rolling a person into the recovery position?,"The important things to remember when rolling a person into the recovery position are:
- Support and protect the head while rolling the person.
- Try to roll the person as one unit (head, back, and legs at the same time).
- Roll the person into a position where the body will stay safely on its side.
- Position the head so that it keeps the airway open.
- Check the ABCs (Airway, Breathing, Circulation) after completing the roll.","When rolling a person into the recovery position, it is important to remember the following:
- Ensure that the person is unresponsive or has an altered level of responsiveness.
- Avoid leaving the person in a face-up position to prevent airway blockage.
- Only roll the person if it is safe to do so and if it won't worsen their condition.
- Monitor the person's breathing and level of responsiveness.
- Provide care for any life-threatening conditions first.
- Keep the person from getting chilled or overheated.
- Reassure the person and continue to watch for changes in their condition.",35,"['34', '115']",0.8100809,0.2905982856278765,0.09815950424479683,0.23931623434582522,0
94,What happens when a vertebra in the spine compresses or cuts the spinal cord?,"Severe injuries can move or break the vertebrae so that they squeeze or cut the spinal cord, causing temporary or permanent paralysis, or even death.","When a vertebra in the spine compresses or cuts the spinal cord, it can cause temporary or permanent paralysis, or even death. Damage can also occur if the injury causes the soft tissue of the spinal cord to swell, compressing it against the hard bone that surrounds it. Depending on the location and severity of the injury, the person may develop paralysis (the loss of movement, sensation or both) in body parts below the injury. Paraplegia is paralysis that affects both legs and the lower trunk. Quadriplegia is paralysis that affects both arms, the torso, and both legs. The higher up the spine the injury occurs, the more extensive the paralysis will be.",112,"['112', '107']",0.7583108,0.23404254972159347,0.12698412390022681,0.23404254972159347,1
95,How many compressions and breaths are recommended for infant CPR?,30 compressions and 2 breaths,"For infant CPR, the recommended compressions are 30 compressions at a rate of 100-120 beats per minute, with the depth of at least 1/3 of the chest's depth. After the compressions, give 2 breaths, ensuring that each breath lasts 1 second and is just enough to make the chest start to rise. If both breaths go in, repeat the cycle of 30 compressions and 2 breaths.",72,"['68', '69', '67']",0.661253,0.18518518350480115,0.11764705771626299,0.18518518350480115,0
96,What is croup?,Croup is inflammation of the throat and vocal cords.,"Croup is a respiratory condition caused by a viral infection that leads to swelling of the throat and tissues below the vocal cords. It is characterized by a distinctive harsh, barking cough, often described as being like the bark of a seal. Croup is generally non-life-threatening but can lead to severe shortness of breath and hypoxia. It is more common in children aged 6 months to 5 years old and is often more evident in the evening. Children with croup may show improvement when exposed to cool air.",191,"['190', '191', '107']",0.7924247,0.21621621407962022,0.10869565058601136,0.21621621407962022,1
97,When should you roll a person from a face-down to a face-up position?,"You should roll a person from a face-down to a face-up position if they are unresponsive, not breathing, or if the face-down position makes it impossible to check the person's ABCs.","You should roll a person from a face-down to a face-up position if they are unresponsive, not breathing, or if the face-down position makes it impossible to check the person’s ABCs.",32,"['32', '34', '115']",0.9995687,0.9583333283333335,0.9333333283333335,0.9583333283333335,1
98,Is it safe for a pregnant woman to use?,"Yes, it is safe to use an AED on a woman who is pregnant.",Child bike trailers are not safe for pregnant women to use.,77,"['137', '197', '139']",0.36607733,0.3333333283680556,0.08695651682419688,0.24999999503472223,0
99,What can you do to help ensure that care begins as soon as possible in a life-threatening emergency?,By preparing for emergencies.,"To help ensure that care begins as soon as possible in a life-threatening emergency, you can take the following steps:

1. Check the scene for safety before approaching the ill or injured person. Look for any hazards or dangers that could put yourself or the person at risk.

2. Call emergency medical services (EMS) or 9-1-1 immediately if there are hazards present or if the situation is beyond your ability to handle. Do not hesitate to seek professional help.

3. Provide appropriate care or assistance to the ill or injured person while waiting for EMS to arrive. This may include administering first aid or CPR if you are trained to do so.

By following these steps, you can help ensure that care begins as soon as possible in a life-threatening emergency.",13,"['13', '29']",0.55211484,0.04545454458677687,0.0,0.04545454458677687,1
100,How can you prevent tick bites?,"Avoid wooded areas and areas with high grass and leaf litter. Walk in the center of hiking trails. Wear long-sleeved shirts and pants, tuck your shirt into your pants and your pant legs into your socks or boots. Use insect repellents with DEET. Check gear and pets for ticks. Do a head-to-toe check for ticks after being outdoors. Put outdoor clothing in a tumble dryer on high heat. Seal the area where children's pants and socks meet to prevent ticks from entering.","To prevent tick bites, you can take the following precautions:
- Avoid wooded areas and areas with high grass and leaf litter.
- Walk in the center of hiking trails.
- Wear long-sleeved shirts and long pants, tuck your shirt into your pants and your pant legs into your socks or boots.
- Use insect repellents with 10 to 30% DEET on skin and clothing.
- Check gear and pets for ticks when coming in from outside.
- Do a head-to-toe check for ticks immediately after being outdoors, and put outdoor clothing in a tumble dryer on high heat for 1 hour to kill any ticks that might be attached.",172,"['173', '172']",0.8964255,0.7552447503330236,0.5837837789066471,0.7412587363470098,1
101,What should a man do if he suspects a concussion?,"If a person suspects they have a concussion, they should stop the activity they were engaged in when the incident occurred and seek medical attention as soon as possible. It is important to follow up with a qualified healthcare provider for a full evaluation and to receive appropriate care.","If you suspect a concussion, advise the person to stop the activity they were engaged in when the incident occurred. They should follow up with a qualified healthcare provider for a full evaluation. If the person displays any severe signs and symptoms of a concussion, such as repeated vomiting, loss of responsiveness, or changes in speech, call EMS/9-1-1 immediately. It is important to seek medical attention following a blow to the head, neck, or upper body with any concussion symptoms. Prompt recognition and appropriate follow-up care are key in preventing catastrophic consequences.",118,"['124', '118', '116']",0.8260082,0.6306306260206154,0.3795620392434334,0.6126126080025972,1
102,What number do most people in Canada call for help in emergencies?,9-1-2001,Most people in Canada call 9-1-1 for help in emergencies.,20,"['20', '12']",0.3504785,0.0,0.0,0.0,1
103,What would you do if an elderly or pregnant adult chokes?,"If you cannot reach far enough around a person to perform abdominal thrusts, or if you are aiding a woman who is obviously pregnant, alternate between 5 firm back blows and 5 chest thrusts. Continue until the object comes out, the person begins to breathe or cough, or the person becomes unresponsive.","If an elderly or pregnant adult chokes, you should first call EMS/9-1-1 and then perform abdominal thrusts or back blows to attempt to dislodge the object. If you cannot reach far enough around the person to perform abdominal thrusts, or if you are aiding a woman who is obviously pregnant, alternate between 5 firm back blows and 5 chest thrusts. Continue these actions until the object comes out, the person begins to breathe or cough, or the person becomes unresponsive.",50,"['137', '50', '47']",0.82210815,0.8571428522448981,0.7580645113163371,0.8571428522448981,1
104,What should you do if your chest does not rise after the first breath?,"After the 30 chest compressions, look in the person’s mouth. If you see an object, carefully remove it by grasping the lower jaw and tongue (if possible) while opening the mouth, and using one finger to sweep behind the object to lift it out.","After the 30 chest compressions, look in the person’s mouth. If you see an object, carefully remove it. With one hand, grasp the lower jaw and tongue (if possible) while opening the mouth. Place one finger from your other hand into the side of the person’s mouth, then sweep behind the object to lift it out. If the chest does not rise after the first breath, you should continue to give CPR and look for an object in the person’s mouth after each set of compressions, removing it if possible. If the breath does not go in, resume the CPR sequence starting with 30 chest compressions.",69,"['72', '69', '107']",0.8488506,0.6355140141671763,0.4822694993068759,0.5981308365970828,1
105,What are the steps to prepare for pad application?,"The steps to prepare for applying the AED pads are:
1. Remove or cut away clothing and undergarments to expose the person's chest.
2. Move or remove any objects that could come into contact with the pads.
3. If the person's chest is wet, dry it using a towel or gauze pad.
4. Small amounts of chest hair will not interfere with pad adhesion. If the person has thick chest hair, shave the areas where the pads will be placed using the razor included with the AED prep kit.","1. Look for a small scar and a lump about the size of a matchbox on the person's chest to check for an implanted pacemaker.
2. Apply the appropriate size of AED pads—adult, child, or baby.
3. Follow the diagrams on the pads to position them correctly on the person.
4. Ensure that the pads are placed at least 2.5 cm (1 in.) apart, and if there is not enough space on the chest, place one pad on the person’s chest and one on the person’s back.
5. Adjust the pad placement to avoid placing the AED pads directly over any implanted pacemaker or medication patches.",74,"['75', '77', '153']",0.65798384,0.3235294067744378,0.0666666617061732,0.27941175971561427,0
106,What labels cover electric toys?,Electrical toys must bear the Canadian Standards Association (CSA) label.,Electrical toys must bear the Canadian Standards Association (CSA) label.,198,"['152', '198', '160']",1.0,0.999999995,0.999999995,0.999999995,1
107,How can a breathing problem be identified?,A breathing problem can be identified by watching and listening to the person's breathing and by asking the person how they feel.,"A breathing problem can be identified by watching and listening to the person’s breathing and by asking the person how he or she feels. If a person is having trouble breathing, do not wait to see if his or her condition improves without intervention, but begin providing care immediately.",80,"['80', '83']",0.87038606,0.49999999580000004,0.4927536189540013,0.49999999580000004,1
108,Where should the kids go skating and rollerblading?,Playgrounds and paths built for skateboarding and in-line skating.,Children should only skate and rollerblade in playgrounds and paths built specifically for skateboarding and in-line skating.,201,"['201', '202']",0.7669884,0.6086956476370511,0.49999999555555563,0.6086956476370511,1
109,What causes an ischemic stroke?,"An ischemic stroke is caused by a clot becoming lodged in an artery of the brain, usually due to narrowing of the artery from cardiovascular disease.","An ischemic stroke occurs when a clot becomes lodged in an artery of the brain, usually because the artery has been narrowed by cardiovascular disease. The blockage prevents blood from reaching the brain cells it usually supplies.",58,"['58', '130']",0.9387775,0.607142852302296,0.39999999520000007,0.5357142808737245,1
110,What are the effects of numbness?,"Febrile seizures are seizures that occur in babies and young children when their body temperatures suddenly rise, usually due to a high fever.","Numbness can be a sign of various health issues, including stroke, frostbite, and other cold-related illnesses. In the context provided, numbness in the fingers can be a sign of circulation issues, such as in the case of frostbite. It can also be a symptom of a stroke, particularly if it is accompanied by other signs such as sudden loss of bladder or bowel control, dizziness, confusion, or abnormal speech. If you or someone else is experiencing numbness, especially in combination with other symptoms, it's important to seek medical attention immediately.",136,"['58', '126', '149']",0.33865002,0.09195401920993543,0.0,0.06896551346280903,0
111,How many breaths should you give?,2 breaths.,"For an adult, you should give just enough volume to make the chest start to rise, with a duration of 1 second per breath. For children and babies, the same applies, but with different hand positions and chest depth.",68,"['71', '72', '31']",0.44627035,0.0,0.0,0.0,0
112,"When do you suspect a head, neck, or spinal cord injury?","You should suspect a head, neck, and/or spinal injury in situations such as a fall from any height greater than the height of the person, any diving injury, a person found unresponsive for unknown reasons, or any injury that involves a strong blow to the lower jaw, head, or torso.","You should suspect a head, neck, or spinal injury in the following situations:
- A fall from any height greater than the height of the person
- Any diving injury (e.g., diving head-first into shallow water)
- A person found unresponsive for unknown reasons
- Any injury that involves a strong blow to the lower jaw, head, or torso (e.g., colliding with another participant while playing a sport)",113,"['113', '112', '116']",0.92958623,0.7032966983987442,0.5517241330514269,0.7032966983987442,1
113,What are the signs and symptoms of opioid addiction?,"Signs and symptoms of an opioid overdose include slowed breathing (or no breathing), chest tightness, extreme drowsiness or unresponsiveness, and small pupils.","Signs and symptoms of opioid overdose include slowed breathing (or no breathing), chest tightness, extreme drowsiness or unresponsiveness, and small pupils.",169,"['169', '168']",0.99598134,0.9756097511005354,0.9268292632956573,0.9756097511005354,1
114,How should a tourniquet be applied?,"To apply a tourniquet, follow these steps:
1. Apply the tourniquet 5 to 10 cm (2 to 4 in.) above the injury, avoiding joints.
2. Tighten the tourniquet until the bleeding stops.
3. Secure the tourniquet in place.
4. Document the time the tourniquet was tightened.","A tourniquet should be applied 5 to 10 cm (2 to 4 in.) above the injury. If there is a joint in this range, apply the tourniquet above it, at least 2.5 cm (1 in.) away from the joint. Tighten the tourniquet until the bleeding stops, then secure it in place and document the time it was tightened.",61,"['61', '90']",0.8614237,0.5316455646851468,0.3564356386746398,0.4810126532927416,1
115,Why should you avoid pushing on an injured person's pelvis with retarded hands?,"Pushing on a person's injured pelvis can cause serious injury or worsen an existing condition, so it should not be touched during the hands-on check.","Pushing on an injured person's pelvis can cause serious injury or worsen an existing condition, so this area should not be touched during the hands-on check. If the person is responsive, you will usually be able to get the information you need from a focused exam and sample questions alone, but there may be situations where touching the person is necessary to assess an injury. If so, you may need to do a portion of the hands-on check, focusing on the injured area.",39,"['39', '115']",0.79939896,0.5714285672477325,0.34951455953247246,0.5476190434382087,1
116,How do you prevent them from falling around your home or workplace?,"Prevent falls around the home and workplace with non-slip floors, non-slip treads on stairs, handrails on staircases, rugs secured with double-sided adhesive tape, and handrails by the bathtub and toilet if necessary.","To prevent items from falling around your home or workplace, you can take the following measures:
- Use non-slip adhesive strips or a mat in areas like the bathtub and shower stall to prevent slipping and falling.
- Keep spaces clutter-free to reduce the risk of items falling and causing accidents.
- Ensure that all furniture and appliances are properly secured and stable to prevent them from tipping over.
- Use sturdy shelving and storage solutions to keep items organized and secure.
- Avoid placing heavy items on high shelves or in precarious positions to prevent them from falling.",114,"['123', '12', '201']",0.6160296,0.19565216995510404,0.03252032143300989,0.19565216995510404,0
117,How can snow blindness be prevented?,"To help prevent snow blindness, wear sunglasses that block 100% of UV rays and prevent light from shining in from below, above, or the sides.","To prevent snow blindness, wear sunglasses that block 100% of UV rays and prevent light from shining in from below, above, or the sides.",154,"['154', '149']",0.99555004,0.977777772780247,0.9361702077682209,0.977777772780247,1
118,What rules does it specify for a child care tool in the middle of the story?,Provincial/territorial legislation specifies regulations for child care centre play equipment.,"The middle of the story specifies rules for protecting children from infection in a child care setting. This includes guidelines for staff members who are sick, encouraging parents to keep sick children at home, having an isolation room for ill children, washing hands before and after contact with sick children, and teaching children the importance of covering their mouths when they cough or sneeze. It also includes guidelines for cleaning and sanitizing the bathroom in a child care setting.",198,"['197', '199', '180']",0.33671236,0.11428571183673475,0.024691356049382874,0.11428571183673475,0
119,What are some ways to reduce the risk of infection when performing first aid?,You can reduce the risk of infection by wearing gloves and using a CPR breathing barrier.,"Some ways to reduce the risk of infection when performing first aid include wearing gloves, using a CPR breathing barrier, washing your hands frequently, treating all blood and bodily fluids as infectious materials, covering your mouth and nose when sneezing, and keeping wounds clean and covered with adhesive bandages. It's also important to keep immunizations up to date and to use sterile dressings whenever possible.",15,"['15', '23', '93']",0.6590482,0.30555555209876545,0.1772151867969877,0.30555555209876545,1
120,What are dull chest injuries?,A blunt chest injury is caused by a crushing force that does not create a wound in the chest wall. The most common blunt chest injury is a broken rib.,"Dull chest injuries are caused by a crushing force that does not create a wound in the chest wall. The most common dull chest injury is a broken rib. These injuries can result from incidents such as motor vehicle collisions, falls, and sports injuries. If multiple ribs break in multiple places, it can produce a loose section of the ribcage that does not move normally with the rest of the chest during breathing, known as flail chest.",109,"['109', '107', '112']",0.80711186,0.5249999959031251,0.4489795879383592,0.5249999959031251,1
